S.N.,Owner,Vehicle_Number,GPS_Vendor,Engine,Chasis,Branch ,
1,Worldlink Bhairahawa Communication Ltd,Lu 1 cha 3111,,GG84L95926,MA1RU4GGA83L65278,Butwal,
2,Worldlink Communications Ltd.,BA17CHA 6604,telematics,GHG4K62502,MA1RU4GHKG3190927,Banepa,
3,Worldlink Communications Ltd.,BA15CHA 4029,track-amala,4897898,1688033,Chitwan,
4,Worldlink Communications Ltd.,BA17CHA 7052,,F8BIN4994033,MA3EVB11S01776176,Sitapaila,
5,Worldlink Communications Ltd.,BA17CHA 7089,,F8BIN-4993836,MA3EVB11S0-1776158,Baneshwor,
6,Worldlink Communications Ltd.,BA17CHA 7066,,F8BIN4993413,MA3EVB11S01775337,SALLAGHARI,
7,Worldlink Communications Ltd.,BA9CHA 8730,track-amala,4536705,1396862,Kusunti,
8,Worldlink Communications Ltd.,BA5CHA 9072,,402306,JDAM300S001015148,head office,
9,Worldlink Communications Ltd.,BA21CHA 5844,telematics,483DLTC55NRYJ23769,MAT460421JUR07219,Kusunti,Winger
10,Worldlink Communications Ltd.,Bagmati Pradesh-01-003 Ka 9120,telematics,479TC41CYX612086,MAT554001M7R12323,kusunti,
11,Worldlink Communications Ltd.,BA11CHA 9316,track-amala,4704235,1511398,BANESHWOR,
12,Worldlink Communications Ltd.,BA12CHA 803,track-amala,4724858,1529955,Imadol,
13,Worldlink Communications Ltd.,BA12CHA 800,track-amala,4723670,1529952,BAUDHA,
14,Worldlink Communications Ltd.,BA13CHA 5156,track-amala,4813344,1610570,New Baneshwor,
15,Worldlink Communications Ltd.,BA13CHA 5374,track-amala,4805771,1604812,Dholahiti,
16,Worldlink Communications Ltd.,BA13CHA 5376,track-amala,4807079,1605045,SALLAGHARI,
17,Worldlink Communications Ltd.,BA15CHA 6815,,GHG4F61829,MA1RU2GHKG3F96484,Sitapaila,
18,Worldlink Communications Ltd.,BA15CHA 6817,,GHGHF61828,MA1RU2GHKG3F96485,Bansbari,
19,Worldlink Communications Ltd.,Bolero CPR DC 4WD Ps(Damauli Branch) BA.STATE01-026CHA 1079,telematics,TBM4F86297,MA1RU4TBKM3F90101,Damauli,
20,Worldlink Communications Ltd.,Bagmati Pradesh-01-003 Ka 9121,telematics,479TC41CYX621297,MAT554001M7R14077,Kusunti,
21,Worldlink Communications Ltd.,Pradesh1-026 Cha777,,1GD8753696,JTEBR3FJ50K211405,head office,
22,Worldlink Communications Ltd.,BA6CHA 8159,track-amala,275IDI05JRZ951296,445051GRZ403040,Manbhawan,
23,Worldlink Communications Ltd.,BA15CHA 6813,,GHG4F61827,MA1RU2GHKG3F96486,Kirtipur,
24,Worldlink Communications Ltd.,XENON YODHA SC 4X2/Bagmati Pra-01-026 Cha 1694,telematics,4SPCR10HYX624390,MAT464602MSR11095,Region 1,
25,Worldlink Communications Ltd.,XENON YODHA SC 4X2/Bagmati Pra-01-026 Cha 1695,telematics,4SPCR10HYX624345,MAT464602MSR11099,Region 6,
26,Worldlink Communications Ltd.,STATE3-01-022 CHA 5128,telematics,TBK4E93795,MA1RU4TBKK3E97641,Region 5,
27,Worldlink Communications Ltd.,STATE3-01-022CHA 5123,,TBK4E90743,MA1RU4TBKK3E97775,Besisahar,
28,Worldlink Communications Ltd.,STATE3-01-022CHA 5603,,TBK4G80380,MA1RU4TBKK3G88168,Walling ,
29,Worldlink Communications Ltd.,XENON_YODHA_CC_4X4/Bagmati Pra-01-026 Cha 2607,telematics,4SPCR10GYX620639,MAT546174MSR09205,Region 5 ,
30,Worldlink Communications Ltd.,STATE3-01-022CHA 2511,telematics,A1Y030,M3GTFR54JKB000377,Kusunti ,
31,Worldlink Communications Ltd.,Pradesh 3-01-023 cha 8061,telematics,TBL4C 75910,MA1RU4TBKL3E 91592,Banepa,
32,Worldlink Communications Ltd., SUZUKI Pick-up STATE3-01-022CHA921,,A1P921,M3GTGS864JB901260,Head office,
33,Worldlink Communications Ltd.,Bagmati Pra-01-026 Cha 3862,telematics,TBM4F85162,MA1RU4TBKM3G92602,Port Project Region 6 ,
34,Worldlink Communications Ltd.,Bagmati Pra-01-026 Cha 3863,telematics,TBM4F85157,MA1RU4TBKM3G92601,Region 7,
35,Worldlink Communications Ltd.,Bhe 1 cha 2786,telematics,GHE4D67019,MA1RU4GHKE3D3186,Nepalgunj,
36,Worldlink Communications Ltd.,BA16CHA 4046,telematics,275IDI06FTYS67072,MAT445554GZF24946,Region-7 Nbu-3,
37,Worldlink Communications Ltd.,BA16CHA 4212,,275IDI06FTYS68308,MAT445554GZF24835,Chitwan,
38,Worldlink Communications Ltd.,BA4CHA 1612,track-amala,29337,251108,Head office,
