S.N.,Owner,Vehicle_Number,GPS_Vendor,Engine,Chasis,Branch,imei,ip,sim_number,port,MakeCompany,MakeModel,type,makeYear
1,Worldlink Bhairahawa Communication Ltd,Lu 1 cha 3111,,GG84L95926,MA1RU4GGA83L65278,Butwal,,,,,,,,
2,Worldlink Communications Ltd.,BA17CHA 6604,telematics,GHG4K62502,MA1RU4GHKG3190927,Banepa,864893031008629,864893031008629,9801919580,10200,Mahendra,Mahendra,four wheeler,
3,Worldlink Communications Ltd.,BA15CHA 4029,track-amala,4897898,1688033,Chitwan,865205033595801,865205033595801,,10218,Maruti Suzuki,Maruti Suzuki,four wheeler,
4,Worldlink Communications Ltd.,BA17CHA 7052,avlview,F8BIN4994033,MA3EVB11S01776176,Sitapaila,865733029358918,865733029358918,9808377541,,Maruti Suzuki,Maruti Suzuki,Mini Van,2017
5,Worldlink Communications Ltd.,BA17CHA 7089,avlview,F8BIN-4993836,MA3EVB11S0-1776158,Baneshwor,865733028523611,865733028523611,9808377548,,Maruti Suzuki,Maruti Suzuki,Mini Van,2017
6,Worldlink Communications Ltd.,BESISHAHAR 1-002 CHA 5123,telematics,F8BIN4993413,MA3EVB11S01775337,SALLAGHARI,865733029366192,865011030754692,9820118497,,Maruti Suzuki,Maruti Suzuki,Mini Van,2017
7,Worldlink Communications Ltd.,BA9CHA 8730,track-amala,4536705,1396862,Kusunti,865205038012737,865205038012737,,10218,Maruti Suzuki,Maruti Suzuki,four wheeler,
8,Worldlink Communications Ltd.,BA5CHA 9072,avlview,402306,JDAM300S001015148,head office,865733029351533,865733029351533,9808377560,,Mahindra,Mahindra,Pickup-Single Cabin,2002
9,Worldlink Communications Ltd.,BA21CHA 5844,telematics,483DLTC55NRYJ23769,MAT460421JUR07219,Kusunti,865011030752761,865011030752761,9801042499,10200,Tata Motors,Tata Motors,four wheeler,
10,Worldlink Communications Ltd.,Bagmati Pradesh-01-003 Ka 9120,telematics,479TC41CYX612086,MAT554001M7R12323,kusunti,865011033497794,865011033497794,9801823821,10200,Tata Motors,Tata Motors,four wheeler,
