S.N.,Owner,Vehicle_Number,GPS_Vendor,Engine,Chasis,Branch,imei,ip,sim_number,port,type,makeYear,MakeCompany,MakeModel,Darta Miti,nepali_darta_miti,english_darta_miti
1,Worldlink Bhairahawa Communication Ltd,Lu 1 cha 3111,,GG84L95926,MA1RU4GGA83L65278,Butwal,,,,,,,Mahendra,Bolero,2065-Paush-28,2065-09-28,2009-01-12
2,Worldlink Communications Ltd.,BA17CHA 6604,telematics,GHG4K62502,MA1RU4GHKG3190927,Banepa,864893031008629,864893031008629,9801919580,10200,four wheeler,,Mahendra,Bolero,2072-Jestha-04,2072-02-04,2015-05-18
3,Worldlink Communications Ltd.,BA15CHA 4029,track-amala,4897898,1688033,Chitwan,865205033595801,865205033595801,,10218,four wheeler,,Maruti Suzuki,Omni Van,2073-Ashar-27,2073-03-27,2016-07-11
4,Worldlink Communications Ltd.,BA17CHA 7052,avlview,F8BIN4994033,MA3EVB11S01776176,Sitapaila,865733029358918,865733029358918,9808377541,,Mini Van,2017,Maruti Suzuki,Omni Van,2074-Shrawan-02,2074-04-02,2017-07-17
5,Worldlink Communications Ltd.,BA17CHA 7089,avlview,F8BIN-4993836,MA3EVB11S0-1776158,Baneshwor,865733028523611,865733028523611,9808377548,,Mini Van,2017,Maruti Suzuki,Omni Van,2074-Shrawan-02,2074-04-02,2017-07-17
6,Worldlink Communications Ltd.,BA17CHA 7066,avlview,F8BIN4993413,MA3EVB11S01775337,SALLAGHARI,865733029366192,865011030754692,9808377546,,Mini Van,2017,Maruti Suzuki,Omni Van,2074-Shrawan-02,2074-04-02,2017-07-17
7,Worldlink Communications Ltd.,BA9CHA 8730,track-amala,4536705,1396862,Kusunti,865205038012737,865205038012737,,10218,four wheeler,,Maruti Suzuki,Omni Van,2069-Shrawan-03,2069-04-03,2012-07-18
8,Worldlink Communications Ltd.,BA5CHA 9072,avlview,402306,JDAM300S001015148,head office,865733029351533,865733029351533,9808377560,,Pickup-Single Cabin,2002,Daihatsu,Sirion,2064-Jestha-04,2064-02-04,2007-05-18
9,Worldlink Communications Ltd.,BA21CHA 5844,telematics,483DLTC55NRYJ23769,MAT460421JUR07219,Kusunti,865011030752761,865011030752761,9801042499,10200,four wheeler,,Tata Motors,Winger,2075-Chaitra-27,2075-12-27,2019-04-10
10,Worldlink Communications Ltd.,Bagmati Pradesh-01-003 Ka 9120,telematics,479TC41CYX612086,MAT554001M7R12323,kusunti,865011033497794,865011033497794,9801823821,10200,four wheeler,,Tata Motors,Truck 1512,2078-Shrawan-27,2078-04-27,2021-08-11
11,Worldlink Communications Ltd.,BA11CHA 9316,track-amala,4704235,1511398,BANESHWOR,865205038013016,865205038013016,,10218,four wheeler,,Maruti Suzuki,Omni Van,2071-Ashar-06,2071-03-06,2014-06-20
12,Worldlink Communications Ltd.,BA12CHA 803,track-amala,4724858,1529955,Imadol,864717002711517,864717002711517,,10202,four wheeler,,Maruti Suzuki,Omni Van,2071-Shrawan-19,2071-04-19,2014-08-04
13,Worldlink Communications Ltd.,BA12CHA 800,track-amala,4723670,1529952,BAUDHA,353419039313429,353419039313429,,10202,four wheeler,,Maruti Suzuki,Omni Van,2071-Shrawan-19,2071-04-19,2014-08-04
14,Worldlink Communications Ltd.,BA13CHA 5156,track-amala,4813344,1610570,New Baneshwor,867844000748726,867844000748726,,11603,four wheeler,,Maruti Suzuki,Omni Van,2072-Shrawan-17,2072-04-17,2015-08-02
15,Worldlink Communications Ltd.,BA13CHA 5374,track-amala,4805771,1604812,Dholahiti,867844000751266,867844000751266,,11603,four wheeler,,Maruti Suzuki,Omni Van,2072-Shrawan-22,2072-04-22,2015-08-07
16,Worldlink Communications Ltd.,BA13CHA 5376,track-amala,4807079,1605045,SALLAGHARI,865205036549185,865205036549185,,10218,four wheeler,,Maruti Suzuki,Omni Van,2072-Shrawan-22,2072-04-22,2015-08-07
17,Worldlink Communications Ltd.,BA15CHA 6815,avlview,GHG4F61829,MA1RU2GHKG3F96484,Sitapaila,865733029366044,865733029366044,9813307409,,Pickup-Double Cabin,2016,Mahendra,Bolero camper DC 2 WD,2073-Shrawan-18,2073-04-18,2016-08-02
18,Worldlink Communications Ltd.,BA15CHA 6817,avlview,GHGHF61828,MA1RU2GHKG3F96485,Bansbari,865733029354438,865733029354438,9813307421,,Pickup-Double Cabin,2016,Mahendra,Bolero camper DC 2 WD,2073-Shrawan-18,2073-04-18,2016-08-02
19,Worldlink Communications Ltd.,Bolero CPR DC 4WD Ps(Damauli Branch) BA.STATE01-026CHA 1079,telematics,TBM4F86297,MA1RU4TBKM3F90101,Damauli,865011033498883,865011033498883,9801823753,10200,four wheeler,,Mahendra,Bolero CPR DC 4WD PS,2078-Bhadra-09,2078-05-09,2021-08-25
20,Worldlink Communications Ltd.,Bagmati Pradesh-01-003 Ka 9121,telematics,479TC41CYX621297,MAT554001M7R14077,Kusunti,865011033498156,865011033498156,9801815254,10200,four wheeler,,Tata Motors,Truck 1512,2078-Bhadra-22,2078-05-22,2021-09-07
21,Worldlink Communications Ltd.,Pradesh1-026 Cha777,,1GD8753696,JTEBR3FJ50K211405,head office,,,,,,,Toyota,Land Cruiser Prado VX AT,2078-Bhadra-20,2078-05-20,2021-09-05
22,Worldlink Communications Ltd.,BA6CHA 8159,track-amala,275IDI05JRZ951296,445051GRZ403040,Manbhawan,352672100961366,352672100961366,,10202,four wheeler,,Tata Motors,Tata ACE,2065-Mansir-01,2065-08-01,2008-11-16
23,Worldlink Communications Ltd.,BA15CHA 6813,avlview,GHG4F61827,MA1RU2GHKG3F96486,Kirtipur,865733029357431,865733029357431,9813307422,,Pickup-Double Cabin,2016,Mahendra,Bolero,2073-Shrawan-18,2073-04-18,2016-08-02
