,S.N.,Owner,Vehicle Number,Engine,Chasis,Branch ,MakeCompany,MakeModel
0,1,Worldlink Bhairahawa Communication Ltd,Lu 1 cha 3111,GG84L95926,MA1RU4GGA83L65278,Butwal,Mahendra ,Bolero
1,2,Worldlink Communications Ltd.,BA17CHA 6604,GHG4K62502,MA1RU4GHKG3190927,Banepa,Mahendra ,Bolero
2,3,Worldlink Communications Ltd.,BA15CHA 4029,4897898,1688033,Narayanghat,Maruti Suzuki,Omni Van
3,4,Worldlink Communications Ltd.,BA17CHA 7052,F8BIN4994033,MA3EVB11S01776176,Sitapaila,Maruti Suzuki,Omni Van
4,5,Worldlink Communications Ltd.,BA17CHA 7089,F8BIN-4993836,MA3EVB11S0-1776158,Baneshwor,Maruti Suzuki,Omni Van
5,6,Worldlink Communications Ltd.,BA17CHA 7066,F8BIN4993413,MA3EVB11S01775337,SALLAGHARI,Maruti Suzuki,Omni Van
6,7,Worldlink Communications Ltd.,BA9CHA 8730,4536705,1396862,Kusunti,Maruti Suzuki,Omni Van
7,8,Worldlink Communications Ltd.,BA5CHA 9072,402306,JDAM300S001015148,head office,Daihatsu,Sirion
8,9,Worldlink Communications Ltd.,BA21CHA 5844,483DLTC55NRYJ23769,MAT460421JUR07219,Kusunti,Tata Motors,Winger
9,10,Worldlink Communications Ltd.,Bagmati Pradesh-01-003 Ka 9120,479TC41CYX612086,MAT554001M7R12323,kusunti,Tata Motors,Truck 1512
10,11,Worldlink Communications Ltd.,BA11CHA 9316,4704235,1511398,BANESHWOR,Maruti Suzuki,Omni Van
11,12,Worldlink Communications Ltd.,BA12CHA 803,4724858,1529955,Imadol,Maruti Suzuki,Omni Van
12,13,Worldlink Communications Ltd.,BA12CHA 800,4723670,1529952,BAUDHA,Maruti Suzuki,Omni Van
13,14,Worldlink Communications Ltd.,BA13CHA 5156,4813344,1610570,New Baneshwor,Maruti Suzuki,Omni Van
14,15,Worldlink Communications Ltd.,BA13CHA 5374,4805771,1604812,Dholahiti,Maruti Suzuki,Omni Van
15,16,Worldlink Communications Ltd.,BA13CHA 5376,4807079,1605045,SALLAGHARI,Maruti Suzuki,Omni Van
16,17,Worldlink Communications Ltd.,BA15CHA 6815,GHG4F61829,MA1RU2GHKG3F96484,Sitapaila,Mahendra ,Bolero camper DC 2 WD
17,18,Worldlink Communications Ltd.,BA15CHA 6817,GHGHF61828,MA1RU2GHKG3F96485,Bansbari,Mahendra ,Bolero camper DC 2 WD
18,19,Worldlink Communications Ltd.,Bolero CPR DC 4WD Ps(Damauli Branch) BA.STATE01-026CHA 1079,TBM4F86297,MA1RU4TBKM3F90101,Damauli,Mahendra ,Bolero CPR DC 4WD PS
