,S.N.,Owner,Vehicle_Number,GPS_Vendor,Engine,Chasis,Branch,imei,ip,sim_number,port,MakeCompany,MakeModel,type
0,1,Worldlink Bhairahawa Communication Ltd,Lu 1 cha 3111,,GG84L95926,MA1RU4GGA83L65278,Butwal,,,,,Mahendra ,Bolero,four wheeler
1,2,Worldlink Communications Ltd.,BA17CHA 6604,telematics,GHG4K62502,MA1RU4GHKG3190927,Banepa,864893031008629.0,36.252.59.236,9801919580.0,10200.0,Mahendra ,Bolero,four wheeler
2,3,Worldlink Communications Ltd.,BA15CHA 4029,track-amala,4897898,1688033,Chitwan,865205033595801.0,49.126.154.112,,10218.0,Maruti Suzuki,Omni Van,four wheeler
3,4,Worldlink Communications Ltd.,BA17CHA 7052,,F8BIN4994033,MA3EVB11S01776176,Sitapaila,,,,,Maruti Suzuki,Omni Van,four wheeler
4,5,Worldlink Communications Ltd.,BA17CHA 7089,,F8BIN-4993836,MA3EVB11S0-1776158,Baneshwor,,,,,Maruti Suzuki,Omni Van,four wheeler
5,6,Worldlink Communications Ltd.,BA17CHA 7066,,F8BIN4993413,MA3EVB11S01775337,SALLAGHARI,,,,,Maruti Suzuki,Omni Van,four wheeler
6,7,Worldlink Communications Ltd.,BA9CHA 8730,track-amala,4536705,1396862,Kusunti,865205038012737.0,49.126.188.29,,10218.0,Maruti Suzuki,Omni Van,four wheeler
7,8,Worldlink Communications Ltd.,BA5CHA 9072,,402306,JDAM300S001015148,head office,,,,,Daihatsu,Sirion,four wheeler
8,9,Worldlink Communications Ltd.,BA21CHA 5844,telematics,483DLTC55NRYJ23769,MAT460421JUR07219,Kusunti,865011030752761.0,49.126.46.111,9801042499.0,10200.0,Tata Motors,Winger,four wheeler
9,10,Worldlink Communications Ltd.,Bagmati Pradesh-01-003 Ka 9120,telematics,479TC41CYX612086,MAT554001M7R12323,kusunti,865011033497794.0,49.126.81.210,9801823821.0,10200.0,Tata Motors,Truck 1512,four wheeler
10,11,Worldlink Communications Ltd.,BA11CHA 9316,track-amala,4704235,1511398,BANESHWOR,865205038013016.0,49.126.22.91,,10218.0,Maruti Suzuki,Omni Van,four wheeler
11,12,Worldlink Communications Ltd.,BA12CHA 803,track-amala,4724858,1529955,Imadol,864717002711517.0,36.252.58.11,,10202.0,Maruti Suzuki,Omni Van,four wheeler
12,13,Worldlink Communications Ltd.,BA12CHA 800,track-amala,4723670,1529952,BAUDHA,353419039313429.0,36.252.188.83,,10202.0,Maruti Suzuki,Omni Van,four wheeler
13,14,Worldlink Communications Ltd.,BA13CHA 5156,track-amala,4813344,1610570,New Baneshwor,867844000748726.0,49.126.99.108,,11603.0,Maruti Suzuki,Omni Van,four wheeler
14,15,Worldlink Communications Ltd.,BA13CHA 5374,track-amala,4805771,1604812,Dholahiti,867844000751266.0,49.126.227.129,,11603.0,Maruti Suzuki,Omni Van,four wheeler
15,16,Worldlink Communications Ltd.,BA13CHA 5376,track-amala,4807079,1605045,SALLAGHARI,865205036549185.0,49.126.233.42,,10218.0,Maruti Suzuki,Omni Van,four wheeler
16,17,Worldlink Communications Ltd.,BA15CHA 6815,,GHG4F61829,MA1RU2GHKG3F96484,Sitapaila,,,,,Mahendra ,Bolero camper DC 2 WD,four wheeler
17,18,Worldlink Communications Ltd.,BA15CHA 6817,,GHGHF61828,MA1RU2GHKG3F96485,Bansbari,,,,,Mahendra ,Bolero camper DC 2 WD,four wheeler
18,19,Worldlink Communications Ltd.,Bolero CPR DC 4WD Ps(Damauli Branch) BA.STATE01-026CHA 1079,telematics,TBM4F86297,MA1RU4TBKM3F90101,Damauli,865011033498883.0,36.252.230.169,9801823753.0,10200.0,Mahendra ,Bolero CPR DC 4WD PS,four wheeler
