,S.N.,Owner,GPS_Vendor,Vehicle_Number,Engine,Chasis,Branch,imei,ip,sim_number,port,ime
0,1,Worldlink Bhairahawa Communication Ltd,,Lu 1 cha 3111,GG84L95926,MA1RU4GGA83L65278,Butwal,nan,,,,
1,2,Worldlink Communications Ltd.,telematics,BA17CHA 6604,GHG4K62502,MA1RU4GHKG3190927,Banepa,864893031008629.0,36.252.59.236,9801919580,10200,864893031008629
2,3,Worldlink Communications Ltd.,track-amala,BA15CHA 4029,4897898,1688033,Chitwan,865205033595801.0,49.126.154.112,,10218,865205033595801
3,4,Worldlink Communications Ltd.,,BA17CHA 7052,F8BIN4994033,MA3EVB11S01776176,Sitapaila,nan,,,,
4,5,Worldlink Communications Ltd.,,BA17CHA 7089,F8BIN-4993836,MA3EVB11S0-1776158,Baneshwor,nan,,,,
5,6,Worldlink Communications Ltd.,,BA17CHA 7066,F8BIN4993413,MA3EVB11S01775337,SALLAGHARI,nan,,,,
6,7,Worldlink Communications Ltd.,track-amala,BA9CHA 8730,4536705,1396862,Kusunti,865205038012737.0,49.126.188.29,,10218,865205038012737
7,8,Worldlink Communications Ltd.,,BA5CHA 9072,402306,JDAM300S001015148,head office,nan,,,,
8,9,Worldlink Communications Ltd.,telematics,BA21CHA 5844,483DLTC55NRYJ23769,MAT460421JUR07219,Kusunti,865011030752761.0,49.126.46.111,9801042499,10200,865011030752761
9,10,Worldlink Communications Ltd.,telematics,Bagmati Pradesh-01-003 Ka 9120,479TC41CYX612086,MAT554001M7R12323,kusunti,865011033497794.0,36.252.174.85,9801823821,10200,865011033497794
10,11,Worldlink Communications Ltd.,track-amala,BA11CHA 9316,4704235,1511398,BANESHWOR,865205038013016.0,49.126.22.91,,10218,865205038013016
11,12,Worldlink Communications Ltd.,track-amala,BA12CHA 803,4724858,1529955,Imadol,864717002711517.0,36.252.58.11,,10202,864717002711517
12,13,Worldlink Communications Ltd.,track-amala,BA12CHA 800,4723670,1529952,BAUDHA,353419039313429.0,36.252.188.83,,10202,353419039313429
13,14,Worldlink Communications Ltd.,track-amala,BA13CHA 5156,4813344,1610570,New Baneshwor,867844000748726.0,49.126.99.108,,11603,867844000748726
14,15,Worldlink Communications Ltd.,track-amala,BA13CHA 5374,4805771,1604812,Dholahiti,867844000751266.0,49.126.227.129,,11603,867844000751266
15,16,Worldlink Communications Ltd.,track-amala,BA13CHA 5376,4807079,1605045,SALLAGHARI,865205036549185.0,49.126.233.42,,10218,865205036549185
16,17,Worldlink Communications Ltd.,,BA15CHA 6815,GHG4F61829,MA1RU2GHKG3F96484,Sitapaila,nan,,,,
17,18,Worldlink Communications Ltd.,,BA15CHA 6817,GHGHF61828,MA1RU2GHKG3F96485,Bansbari,nan,,,,
18,19,Worldlink Communications Ltd.,telematics,Bolero CPR DC 4WD Ps(Damauli Branch) BA.STATE01-026CHA 1079,TBM4F86297,MA1RU4TBKM3F90101,Damauli,865011033498883.0,36.252.230.169,9801823753,10200,865011033498883
19,20,Worldlink Communications Ltd.,telematics,Bagmati Pradesh-01-003 Ka 9121,479TC41CYX621297,MAT554001M7R14077,Kusunti,865011033498156.0,36.252.123.63,9801815254,10200,865011033498156
20,21,Worldlink Communications Ltd.,,Pradesh1-026 Cha777,1GD8753696,JTEBR3FJ50K211405,head office,nan,,,,
21,22,Worldlink Communications Ltd.,track-amala,BA6CHA 8159,275IDI05JRZ951296,445051GRZ403040,Manbhawan,352672100961366.0,49.126.45.144,,10202,352672100961366
22,23,Worldlink Communications Ltd.,,BA15CHA 6813,GHG4F61827,MA1RU2GHKG3F96486,Kirtipur,nan,,,,
23,24,Worldlink Communications Ltd.,telematics,XENON YODHA SC 4X2/Bagmati Pra-01-026 Cha 1694,4SPCR10HYX624390,MAT464602MSR11095,Region 1,865011033500332.0,49.126.147.170,9801815078,10200,865011033500332
24,25,Worldlink Communications Ltd.,telematics,XENON YODHA SC 4X2/Bagmati Pra-01-026 Cha 1695,4SPCR10HYX624345,MAT464602MSR11099,Region 6,865011033498511.0,49.126.225.38,9801823762,10200,865011033498511
25,26,Worldlink Communications Ltd.,telematics,STATE3-01-022 CHA 5128,TBK4E93795,MA1RU4TBKK3E97641,Region 5,865011030756788.0,49.126.130.238,9802320226,10200,865011030756788
26,27,Worldlink Communications Ltd.,,STATE3-01-022CHA 5123,TBK4E90743,MA1RU4TBKK3E97775,Besisahar,865011030754692.0,49.126.83.98,9820118497,10200,865011030754692
